H1,H2,DD1,UD1,user_id
84,98,217,133,29
74,94,242,168,29
71,87,329,258,29
88,79,197,109,29
87,80,196,109,29
77,86,197,120,29
76,95,309,233,29
84,71,203,119,29
60,71,194,134,29
68,88,168,100,29
87,73,207,120,29
75,83,200,125,29
71,97,172,101,29
76,68,304,228,29
79,88,284,205,29
99,105,602,503,30
73,84,757,684,30
76,113,450,374,30
63,80,516,453,30
68,74,490,422,30
70,66,638,568,30
72,71,462,390,30
74,74,518,444,30
80,82,500,420,30
65,83,459,394,30
71,80,477,406,30
73,84,451,378,30
61,78,462,401,30
64,82,419,355,30
68,84,486,418,30
65,80,446,381,30
62,64,632,570,30
74,91,709,635,30
67,84,676,609,30
81,85,359,278,30
81,133,973,892,31
129,128,1274,1145,31
102,145,351,249,31
120,114,289,169,31
103,116,352,249,31
120,110,300,180,31
90,110,282,192,31
94,131,391,297,31
91,107,256,165,31
107,146,343,236,31
98,108,343,245,31
111,117,300,189,31
97,102,306,209,31
85,114,217,132,31
100,135,273,173,31
102,113,218,116,31
106,115,251,145,31
82,100,230,148,31
103,140,345,242,31
112,113,280,168,31
60,33,542,482,32
69,65,243,174,32
82,64,223,141,32
72,57,200,128,32
55,44,163,108,32
73,55,181,108,32
44,59,165,121,32
64,87,199,135,32
66,53,523,457,32
71,72,298,227,32
79,47,241,162,32
64,71,306,242,32
93,54,237,144,32
65,78,220,155,32
76,54,195,119,32
67,33,194,127,32
57,61,183,126,32
93,56,197,104,32
52,51,181,129,32
44,69,150,106,32
61,48,1259,1198,33
67,55,740,673,33
17,57,740,723,33
57,51,289,232,33
75,34,673,598,33
73,56,850,777,33
72,50,406,334,33
83,56,1281,1198,33
25,48,549,524,33
65,57,398,333,33
64,56,665,601,33
59,50,399,340,33
57,58,247,190,33
66,18,816,750,33
74,34,366,292,33
68,73,1043,975,33
74,49,499,425,33
49,65,290,241,33
75,64,749,674,33
67,42,324,257,33
106,93,497,391,34
53,76,363,310,34
58,42,308,250,34
86,80,288,202,34
61,62,253,192,34
59,28,693,634,34
34,63,198,164,34
53,69,293,240,34
79,83,397,318,34
68,66,664,596,34
52,79,274,222,34
63,81,378,315,34
57,73,204,147,34
82,64,299,217,34
79,57,289,210,34
43,43,560,517,34
82,41,652,570,34
44,32,370,326,34
34,59,435,401,34
44,80,413,369,34
19,55,885,866,35
71,54,261,190,35
